tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
6.112,61.52,64.76,66.10,61.06,70.15,64.84,67.25,66.40,18.2120,17.8917
6.144,65.92,66.93,67.31,64.71,65.28,64.53,66.42,62.70,18.3062,17.9859
6.176,66.18,68.07,64.12,67.18,67.72,59.82,70.06,66.83,18.4004,18.0801
6.208,62.26,67.22,68.67,65.58,67.20,69.48,66.04,67.14,18.4946,18.1806
6.240,63.77,64.13,66.92,66.36,64.80,65.42,65.95,65.61,18.5951,18.2748
6.272,65.20,64.42,67.58,64.17,69.40,67.22,63.76,68.34,18.6893,18.3690
6.304,70.20,69.95,66.71,71.76,69.98,69.69,71.98,66.66,18.7835,18.4632
6.336,67.66,63.47,67.60,63.84,67.72,65.30,69.22,65.10,18.8840,18.5637
6.368,65.30,61.00,68.33,65.16,70.24,75.33,67.55,63.84,18.9782,18.6579
6.400,64.87,66.40,68.59,66.07,66.19,61.24,63.11,66.38,19.0724,18.7521
6.432,69.36,68.41,71.79,66.40,67.87,64.80,65.76,64.54,19.1666,18.8526
6.464,65.74,65.25,65.18,70.46,70.13,70.54,67.15,64.03,19.2670,18.9468
6.496,71.10,68.59,66.21,73.23,66.89,69.19,64.48,69.90,19.3612,19.0410
6.528,63.35,68.79,68.30,80.72,65.30,74.83,66.23,65.10,19.4554,19.1352
6.560,69.60,70.45,65.50,81.78,65.87,66.35,64.67,63.38,19.5559,19.2356
6.592,70.07,65.59,65.66,94.24,71.92,67.67,69.36,66.78,19.6501,19.3298
6.624,68.17,72.71,61.75,95.16,64.84,68.05,60.07,68.21,19.7443,19.4240
6.656,68.30,73.64,69.76,100.76,70.45,64.11,61.90,68.53,19.8385,19.5182
6.688,71.23,70.13,65.35,104.20,68.76,69.07,65.86,59.98,19.9390,19.6187
6.720,69.42,64.35,65.48,108.15,66.48,73.28,69.03,64.21,20.0332,19.7129
6.752,72.69,62.55,70.77,111.47,69.00,64.21,65.94,71.09,20.1274,19.8071
6.784,68.05,65.95,68.36,113.94,67.05,71.71,67.74,66.40,20.2216,19.9076
6.816,66.64,68.61,67.75,112.96,66.72,71.83,66.66,73.72,20.3221,20.0018
