tiempo,dist_front_raw,dist_filtered,dist_kalman,accion
8.736,1.50000,1.50000,1.49876,AVANZAR
8.768,1.50000,1.50000,1.49879,AVANZAR
8.800,1.50000,1.50000,1.49880,AVANZAR
8.832,1.50000,1.50000,1.49878,AVANZAR
8.864,1.50000,1.50000,1.49877,AVANZAR
8.896,1.50000,1.50000,1.49879,AVANZAR
8.928,1.50000,1.50000,1.49880,AVANZAR
8.960,1.50000,1.50000,1.49878,AVANZAR
8.992,1.50000,1.50000,1.49877,AVANZAR
9.024,1.50000,1.50000,1.49879,AVANZAR
9.056,1.50000,1.50000,1.49878,AVANZAR
9.088,1.50000,1.50000,1.49877,AVANZAR
9.120,1.50000,1.50000,1.49879,AVANZAR
9.152,1.50000,1.50000,1.49880,AVANZAR
9.184,1.50000,1.50000,1.49878,AVANZAR
9.216,1.50000,1.50000,1.49877,AVANZAR
9.248,1.50000,1.50000,1.49879,AVANZAR
9.280,1.50000,1.50000,1.49880,AVANZAR
9.312,1.50000,1.50000,1.49876,AVANZAR
9.344,1.50000,1.50000,1.49879,AVANZAR
9.376,1.50000,1.50000,1.49880,AVANZAR
9.408,1.50000,1.50000,1.49878,AVANZAR
9.440,1.50000,1.50000,1.49877,AVANZAR
9.472,1.50000,1.50000,1.49879,AVANZAR
9.504,1.50000,1.50000,1.49880,AVANZAR
9.536,1.50000,1.50000,1.49878,AVANZAR
9.568,1.50000,1.50000,1.49877,AVANZAR
9.600,1.50000,1.50000,1.49879,AVANZAR
9.632,1.50000,1.50000,1.49880,AVANZAR
9.664,1.50000,1.50000,1.49876,AVANZAR
9.696,1.50000,1.50000,1.49879,AVANZAR
9.728,1.50000,1.50000,1.49880,AVANZAR
9.760,1.50000,1.50000,1.49878,AVANZAR
9.792,1.50000,1.50000,1.49877,AVANZAR
9.824,1.50000,1.50000,1.49879,AVANZAR
9.856,1.50000,1.50000,1.49880,AVANZAR
9.888,1.50000,1.50000,1.49878,AVANZAR
9.920,1.50000,1.50000,1.49877,AVANZAR
9.952,1.50000,1.50000,1.49879,AVANZAR
9.984,1.50000,1.50000,1.49880,AVANZAR
10.016,1.50000,1.50000,1.49876,AVANZAR
10.048,1.50000,1.50000,1.49879,AVANZAR
10.080,1.50000,1.50000,1.49880,AVANZAR
10.112,1.50000,1.50000,1.49878,AVANZAR
10.144,1.50000,1.50000,1.49877,AVANZAR
10.176,1.50000,1.50000,1.49879,AVANZAR
10.208,1.50000,1.50000,1.49880,AVANZAR
10.240,1.50000,1.50000,1.49878,AVANZAR
10.272,1.50000,1.50000,1.49877,AVANZAR
10.304,1.50000,1.50000,1.49879,AVANZAR
10.336,1.50000,1.50000,1.49878,AVANZAR
10.368,1.50000,1.50000,1.49877,AVANZAR
10.400,1.50000,1.50000,1.49879,AVANZAR
10.432,1.50000,1.50000,1.49880,AVANZAR
10.464,1.50000,1.50000,1.49878,AVANZAR
10.496,1.50000,1.50000,1.49877,AVANZAR
10.528,1.50000,1.50000,1.49879,AVANZAR
10.560,1.50000,1.50000,1.49880,AVANZAR
10.592,1.50000,1.50000,1.49876,AVANZAR
10.624,1.50000,1.50000,1.49879,AVANZAR
10.656,1.50000,1.50000,1.49880,AVANZAR
10.688,1.50000,1.50000,1.49878,AVANZAR
10.720,1.50000,1.50000,1.49877,AVANZAR
10.752,1.50000,1.50000,1.49879,AVANZAR
10.784,1.50000,1.50000,1.49880,AVANZAR
10.816,1.50000,1.50000,1.49878,AVANZAR
10.848,1.50000,1.50000,1.49877,AVANZAR
10.880,1.50000,1.50000,1.49879,AVANZAR
10.912,1.50000,1.50000,1.49880,AVANZAR
10.944,1.50000,1.50000,1.49876,AVANZAR
10.976,1.50000,1.50000,1.49879,AVANZAR
11.008,1.50000,1.50000,1.49880,AVANZAR
11.040,1.50000,1.50000,1.49878,AVANZAR
11.072,1.50000,1.50000,1.49877,AVANZAR
11.104,1.50000,1.50000,1.49879,AVANZAR
11.136,1.50000,1.50000,1.49880,AVANZAR
11.168,1.50000,1.50000,1.49878,AVANZAR
11.200,1.50000,1.50000,1.49877,AVANZAR
11.232,1.50000,1.50000,1.49879,AVANZAR
11.264,1.50000,1.50000,1.49880,AVANZAR
11.296,1.50000,1.50000,1.49876,AVANZAR
11.328,1.50000,1.50000,1.49879,AVANZAR
